Z,EstimatedZ
0.5860000278335065,0.51
0.5862500278453808,0.5
0.585000027786009,0.51
0.5867500278691296,0.5
0.5855000278097577,0.5
0.5852500277978834,0.51
0.5865000278572552,0.51
0.585000027786009,0.51
0.585000027786009,0.52
0.5857500278216321,0.52
0.5857500278216321,0.5
0.5860000278335065,0.5
0.5855000278097577,0.51
0.5870000278810039,0.51
0.5845000277622603,0.5
0.5860000278335065,0.51
0.5855000278097577,0.51
0.5855000278097577,0.51
0.5855000278097577,0.51
0.5857500278216321,0.52
0.5870000278810039,0.5
0.5862500278453808,0.49
0.5852500277978834,0.51
0.5855000278097577,0.5
0.5855000278097577,0.5
0.5860000278335065,0.52
0.5860000278335065,0.5
0.5862500278453808,0.51
0.585000027786009,0.51
0.5852500277978834,0.51
0.5852500277978834,0.52
0.5872500278928783,0.51
0.5867500278691296,0.51
0.5860000278335065,0.51
0.5862500278453808,0.5
0.5860000278335065,0.52
0.5852500277978834,0.5
0.5852500277978834,0.51
0.5860000278335065,0.5
0.5860000278335065,0.5
0.5867500278691296,0.51
0.5867500278691296,0.52
0.5860000278335065,0.5
0.5852500277978834,0.5
0.5857500278216321,0.51
0.5857500278216321,0.52
0.5855000278097577,0.51
0.585000027786009,0.51
0.5862500278453808,0.51
0.5862500278453808,0.51
0.5852500277978834,0.49
0.5855000278097577,0.52
0.5852500277978834,0.51
0.5862500278453808,0.51
0.5860000278335065,0.52
0.5852500277978834,0.5
0.5870000278810039,0.51
0.5847500277741347,0.52
0.5862500278453808,0.5
0.5867500278691296,0.51
0.5870000278810039,0.52
0.5857500278216321,0.53
0.5855000278097577,0.53
0.5852500277978834,0.5
0.5852500277978834,0.51
0.5862500278453808,0.51
0.5852500277978834,0.5
0.5860000278335065,0.5
0.5862500278453808,0.5
0.5870000278810039,0.51
0.585000027786009,0.5
0.5862500278453808,0.5
0.5857500278216321,0.52
0.585000027786009,0.51
0.5857500278216321,0.5
0.5855000278097577,0.51
0.5852500277978834,0.51
0.5860000278335065,0.51
0.5862500278453808,0.5
0.5860000278335065,0.51
0.5865000278572552,0.51
0.5852500277978834,0.49
0.5860000278335065,0.5
0.5870000278810039,0.5
0.585000027786009,0.51
0.5867500278691296,0.5
0.5845000277622603,0.52
0.585000027786009,0.51
0.5855000278097577,0.49
0.5855000278097577,0.51
0.5845000277622603,0.51
0.5852500277978834,0.53
0.5860000278335065,0.52
0.5852500277978834,0.52
0.5852500277978834,0.52
0.5857500278216321,0.51
0.5857500278216321,0.52
0.5855000278097577,0.52
0.5857500278216321,0.5
0.5857500278216321,0.5
0.5865000278572552,0.5
0.5860000278335065,0.5
0.5862500278453808,0.49
0.5852500277978834,0.52
0.5862500278453808,0.51
0.5867500278691296,0.47000000000000003
0.5855000278097577,0.49
0.5862500278453808,0.49
0.5865000278572552,0.5
0.5862500278453808,0.51
0.5857500278216321,0.49
0.5865000278572552,0.5
0.5857500278216321,0.5
0.5855000278097577,0.51
0.5862500278453808,0.5
0.585000027786009,0.5
0.5857500278216321,0.47000000000000003
0.5852500277978834,0.5
0.5847500277741347,0.49
0.5860000278335065,0.5
0.5852500277978834,0.51
0.5860000278335065,0.51
0.5860000278335065,0.51
0.5857500278216321,0.51
0.5847500277741347,0.5
0.5852500277978834,0.51
0.5857500278216321,0.51
0.5857500278216321,0.51
0.5852500277978834,0.52
0.5857500278216321,0.51
0.5852500277978834,0.51
0.5862500278453808,0.51
0.5845000277622603,0.5
0.5857500278216321,0.5
0.5857500278216321,0.49
0.5862500278453808,0.5
0.5870000278810039,0.5
0.5855000278097577,0.48
0.5857500278216321,0.5
0.5852500277978834,0.49
