Z,EstimatedZ
0.5505000261473469,0.64
0.5507500261592213,0.65
0.5510000261710957,0.64
0.5515000261948444,0.63
0.5515000261948444,0.62
0.55125002618297,0.64
0.55125002618297,0.63
0.55125002618297,0.64
0.5510000261710957,0.64
0.55125002618297,0.64
0.5510000261710957,0.63
0.5505000261473469,0.64
0.5515000261948444,0.64
0.5510000261710957,0.63
0.5505000261473469,0.64
0.5515000261948444,0.63
0.5510000261710957,0.65
0.55125002618297,0.66
0.5505000261473469,0.65
0.55125002618297,0.65
0.5515000261948444,0.62
0.5507500261592213,0.62
0.5502500261354726,0.64
0.5507500261592213,0.63
0.5510000261710957,0.62
0.55125002618297,0.64
0.5507500261592213,0.65
0.5505000261473469,0.65
0.5510000261710957,0.65
0.55125002618297,0.64
0.55125002618297,0.64
0.5500000261235982,0.64
0.5507500261592213,0.63
0.5515000261948444,0.63
0.5510000261710957,0.63
0.5515000261948444,0.66
0.5507500261592213,0.63
0.5510000261710957,0.66
0.5507500261592213,0.63
0.55125002618297,0.62
0.5515000261948444,0.64
0.5515000261948444,0.65
0.5505000261473469,0.63
0.55125002618297,0.63
0.5517500262067188,0.65
0.5507500261592213,0.67
0.5517500262067188,0.65
0.55125002618297,0.64
0.5507500261592213,0.64
0.5510000261710957,0.64
0.55125002618297,0.61
0.55125002618297,0.65
0.55125002618297,0.64
0.5507500261592213,0.63
0.5510000261710957,0.64
0.5505000261473469,0.63
0.5507500261592213,0.64
0.5510000261710957,0.64
0.5515000261948444,0.65
0.5510000261710957,0.64
0.5505000261473469,0.65
0.5505000261473469,0.66
0.5510000261710957,0.64
0.5507500261592213,0.62
0.5515000261948444,0.64
0.5507500261592213,0.64
0.55125002618297,0.62
0.5507500261592213,0.63
0.55125002618297,0.63
0.5505000261473469,0.65
0.5507500261592213,0.62
0.5507500261592213,0.61
0.5507500261592213,0.65
0.5515000261948444,0.63
0.5507500261592213,0.62
0.5515000261948444,0.63
0.55125002618297,0.63
0.5515000261948444,0.64
0.5510000261710957,0.62
0.5507500261592213,0.63
0.5510000261710957,0.63
0.5520000262185931,0.62
0.55125002618297,0.65
0.5510000261710957,0.63
0.5507500261592213,0.64
0.5507500261592213,0.61
0.5507500261592213,0.65
0.5515000261948444,0.63
0.5505000261473469,0.6
0.5507500261592213,0.65
0.5510000261710957,0.65
0.5515000261948444,0.67
0.55125002618297,0.66
0.5502500261354726,0.65
0.5505000261473469,0.64
0.5510000261710957,0.62
0.5515000261948444,0.64
0.5505000261473469,0.62
0.55125002618297,0.61
0.5507500261592213,0.6
0.5510000261710957,0.59
0.5505000261473469,0.5700000000000001
0.5515000261948444,0.54
0.5505000261473469,0.5
0.5505000261473469,0.46
0.5505000261473469,0.4
0.0,0.42
0.0,0.41000000000000003
0.0,0.41000000000000003
0.0,0.43
0.0,0.41000000000000003
0.0,0.4
0.0,0.4
0.0,0.42
0.0,0.41000000000000003
0.0,0.42
0.0,0.4
0.0,0.42
0.0,0.41000000000000003
0.0,0.42
0.0,0.45
0.0,0.44
0.0,0.46
0.0,0.45
0.0,0.44
0.0,0.45
0.0,0.45
0.0,0.44
0.0,0.45
0.0,0.44
0.0,0.44
0.5547500263492111,0.53
0.5545000263373367,0.52
0.554000026313588,0.51
0.554000026313588,0.49
0.554000026313588,0.51
0.554000026313588,0.52
0.554000026313588,0.5
0.5532500262779649,0.51
0.5532500262779649,0.51
0.5527500262542162,0.51
0.5532500262779649,0.47000000000000003
0.5535000262898393,0.49
0.0,0.43
0.5570000264560804,0.51
0.5500000261235982,0.48
0.5502500261354726,0.5700000000000001
0.5500000261235982,0.61
0.5502500261354726,0.61
0.5500000261235982,0.59
0.5500000261235982,0.61
0.5505000261473469,0.61
0.5502500261354726,0.61
0.5505000261473469,0.6
0.5505000261473469,0.58
0.55125002618297,0.6
0.5507500261592213,0.63
0.5502500261354726,0.64
0.5510000261710957,0.63
0.5510000261710957,0.63
0.5507500261592213,0.62
0.5510000261710957,0.61
0.5502500261354726,0.61
0.5507500261592213,0.6
0.5515000261948444,0.6
0.5510000261710957,0.61
0.55125002618297,0.63
0.55125002618297,0.62
0.55125002618297,0.6
0.5515000261948444,0.62
0.5510000261710957,0.63
0.5515000261948444,0.63
0.5505000261473469,0.64
0.5510000261710957,0.63
0.5517500262067188,0.64
0.55125002618297,0.63
0.55125002618297,0.64
0.5510000261710957,0.64
0.5525000262423418,0.65
0.5522500262304675,0.64
0.5520000262185931,0.64
0.5520000262185931,0.63
0.5522500262304675,0.64
0.5520000262185931,0.64
0.5520000262185931,0.63
0.5525000262423418,0.66
0.5532500262779649,0.65
0.5515000261948444,0.64
0.5520000262185931,0.65
0.5525000262423418,0.65
0.5522500262304675,0.65
0.5525000262423418,0.64
0.5520000262185931,0.67
0.5522500262304675,0.6
0.5520000262185931,0.63
0.5517500262067188,0.64
0.5525000262423418,0.64
0.5525000262423418,0.65
0.5525000262423418,0.61
0.5522500262304675,0.65
0.5522500262304675,0.66
0.5522500262304675,0.67
0.5522500262304675,0.66
0.5527500262542162,0.66
0.5522500262304675,0.66
0.5527500262542162,0.63
0.5520000262185931,0.65
0.5517500262067188,0.65
0.5522500262304675,0.67
0.5522500262304675,0.67
0.5527500262542162,0.66
0.5522500262304675,0.67
0.5515000261948444,0.66
0.5520000262185931,0.66
0.5517500262067188,0.65
0.5520000262185931,0.64
0.5517500262067188,0.64
0.5525000262423418,0.65
0.5522500262304675,0.63
0.5520000262185931,0.64
0.5520000262185931,0.66
0.5525000262423418,0.64
0.5522500262304675,0.62
0.5525000262423418,0.61
0.5525000262423418,0.62
0.5525000262423418,0.62
0.5517500262067188,0.64
0.5525000262423418,0.62
0.5522500262304675,0.6
0.5522500262304675,0.61
0.5517500262067188,0.62
0.5517500262067188,0.63
0.5515000261948444,0.63
0.5522500262304675,0.59
0.55125002618297,0.55
0.5497500261117239,0.46
0.0,0.49
0.0,0.5
0.0,0.45
0.0,0.43
0.0,0.43
0.0,0.41000000000000003
0.0,0.41000000000000003
0.0,0.4
0.0,0.4
