Z,EstimatedZ
0.5527500262542162,0.56
0.5535000262898393,0.56
0.0,0.56
0.5532500262779649,0.56
0.0,0.53
0.5535000262898393,0.56
0.5530000262660906,0.5700000000000001
0.0,0.56
0.5527500262542162,0.5700000000000001
0.5537500263017137,0.5700000000000001
0.5532500262779649,0.56
0.5532500262779649,0.56
0.5535000262898393,0.5700000000000001
0.5535000262898393,0.56
0.5535000262898393,0.55
0.5537500263017137,0.5700000000000001
0.5535000262898393,0.5700000000000001
0.5532500262779649,0.5700000000000001
0.0,0.5700000000000001
0.5532500262779649,0.5700000000000001
0.5535000262898393,0.55
0.5532500262779649,0.55
0.5532500262779649,0.5700000000000001
0.5532500262779649,0.56
0.0,0.52
0.5525000262423418,0.5700000000000001
0.5535000262898393,0.56
0.5527500262542162,0.5700000000000001
0.5535000262898393,0.5700000000000001
0.0,0.58
0.5535000262898393,0.5700000000000001
0.0,0.5700000000000001
0.5532500262779649,0.56
0.5535000262898393,0.58
0.5532500262779649,0.56
0.5527500262542162,0.58
0.5527500262542162,0.5700000000000001
0.5530000262660906,0.58
0.5527500262542162,0.56
0.0,0.59
0.5535000262898393,0.5700000000000001
0.5532500262779649,0.58
0.554000026313588,0.56
0.5537500263017137,0.55
0.5530000262660906,0.5700000000000001
0.5530000262660906,0.58
0.0,0.5700000000000001
0.0,0.55
0.5537500263017137,0.5700000000000001
0.5532500262779649,0.56
0.0,0.51
0.5542500263254624,0.58
0.5530000262660906,0.5700000000000001
0.5535000262898393,0.5700000000000001
0.5532500262779649,0.58
0.5530000262660906,0.56
0.5530000262660906,0.5700000000000001
0.5537500263017137,0.58
0.5532500262779649,0.5700000000000001
0.5527500262542162,0.5700000000000001
0.5527500262542162,0.58
0.5535000262898393,0.59
0.5532500262779649,0.5700000000000001
0.5530000262660906,0.5700000000000001
0.5537500263017137,0.56
0.5535000262898393,0.5700000000000001
0.5537500263017137,0.56
0.5535000262898393,0.56
0.5535000262898393,0.56
0.0,0.54
0.0,0.5700000000000001
0.5530000262660906,0.56
0.5537500263017137,0.58
0.5535000262898393,0.56
0.0,0.53
0.5537500263017137,0.56
0.0,0.51
0.0,0.55
0.5535000262898393,0.55
0.0,0.54
0.5535000262898393,0.5700000000000001
0.5537500263017137,0.55
0.5535000262898393,0.56
0.5535000262898393,0.56
0.554000026313588,0.5700000000000001
0.0,0.55
0.5532500262779649,0.5700000000000001
0.5537500263017137,0.56
0.0,0.51
0.5527500262542162,0.5700000000000001
0.5537500263017137,0.5700000000000001
0.0,0.54
0.5532500262779649,0.5700000000000001
0.5535000262898393,0.58
0.5535000262898393,0.5700000000000001
0.0,0.58
0.5527500262542162,0.58
0.5532500262779649,0.5700000000000001
0.5527500262542162,0.55
0.5535000262898393,0.56
0.5537500263017137,0.55
0.5535000262898393,0.54
0.5532500262779649,0.53
0.5525000262423418,0.55
0.5505000261473469,0.46
0.5522500262304675,0.51
0.5532500262779649,0.46
0.5532500262779649,0.49
0.0,0.63
0.0,0.61
0.0,0.63
0.0,0.6900000000000001
0.0,0.65
0.0,0.6900000000000001
0.0,0.66
0.0,0.67
0.0,0.63
0.0,0.71
0.0,0.66
0.0,0.68
0.0,0.72
0.0,0.72
0.0,0.72
0.0,0.75
0.0,0.66
0.0,0.71
0.0,0.73
0.0,0.71
0.0,0.74
0.0,0.7000000000000001
0.0,0.6900000000000001
0.0,0.68
0.0,0.73
0.0,0.64
0.0,0.64
0.554000026313588,0.51
0.554000026313588,0.52
0.5517500262067188,0.49
0.5510000261710957,0.51
0.5507500261592213,0.51
